"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000186092.7",0.223863329526676,0,3.35243200251104,0,1,NA
"ENSG00000284733.2",0,NA,NA,NA,NA,NA
"ENSG00000284662.2",0.0746211098422252,0,3.81692887976169,0,1,NA
"ENSG00000187634.13",346.866146862181,-0.0319910513724519,0.0804350890238969,-0.397725069502285,0.690832855876212,0.8372552937272
"ENSG00000188976.11",1536.63937197215,-0.166254795521446,0.052033303789543,-3.19516124122908,0.00139752738983479,0.0085478462624817
"ENSG00000187961.15",115.38433822766,-0.169168859556076,0.142826365970277,-1.18443718991829,0.236240045878624,0.45198299911803
"ENSG00000187583.11",107.014629131337,0.228360841573987,0.152683608905646,1.49564739274081,0.134745566040755,0.31264157238872
"ENSG00000187642.10",12.4636575290156,0.0583948544461565,0.411541831011024,0.141892877092711,0.887164620647235,0.948877947359993
"ENSG00000188290.11",501.68545608,0.00588493016019953,0.0862433944602221,0.0682363002642924,0.945597530868109,0.975718621228219
"ENSG00000187608.10",3959.55104112441,3.5229717174157,0.277784387895863,12.6823963870007,7.40332829593353e-37,1.41149742053613e-34
"ENSG00000188157.15",4349.17644980064,0.324036101592613,0.0402514240930233,8.05030154569803,8.25902936033469e-16,3.59039106980543e-14
"ENSG00000237330.3",336.19166483227,-0.273049221257918,0.089762786356308,-3.04189778795486,0.00235091708684242,0.013328521427782
"ENSG00000131591.18",206.094851508334,-0.198194781494917,0.103739068374686,-1.91051244820393,0.0560672651650163,0.169446041868729
"ENSG00000162571.14",12.9981358045601,0.463852491603251,0.3934999778458,1.17878657615839,0.238483170967912,0.454750164271719
"ENSG00000186891.14",26.3453972166703,-0.608997456483959,0.311808240167368,-1.95311533831521,0.0508059298719551,0.15764177554672
"ENSG00000186827.12",0.756131622450922,1.94138335329662,1.79008927094816,1.08451761864833,0.278135359464251,NA
"ENSG00000078808.20",1171.04892563968,-0.0842732173770031,0.0480051328096922,-1.75550430640593,0.0791730846997617,0.21630378472938
"ENSG00000176022.7",273.305751720077,-0.143247333541096,0.0895207620069602,-1.60015766543585,0.109563611047102,0.270698835714434
"ENSG00000184163.3",6.97523557946392,0.578334132271701,0.551709101055178,1.04825918435205,0.294519209124277,0.520271788877909
"ENSG00000160087.21",507.968826905585,0.0281525492054474,0.0656320857514803,0.428944911366197,0.667963315349081,0.821607330347935
"ENSG00000162572.21",27.7122499968334,0.124718798539711,0.273575138644897,0.455884987055045,0.648472685820315,0.810803491189612
"ENSG00000131584.19",651.706279460301,0.0285123421065548,0.0640470410039712,0.445178132503997,0.656191028373445,0.815791845800838
"ENSG00000169972.13",195.260092355332,-0.1189165403139,0.113933240086581,-1.04373877389541,0.296606265402948,0.52264420624079
"ENSG00000127054.22",681.085787033511,0.00448293628281462,0.0584072192436712,0.0767531195777715,0.938819945822473,0.9727110470419
"ENSG00000224051.7",240.419860459766,-0.123477771450304,0.0954622283067035,-1.29347254553488,0.195847673551148,0.401133064949911
"ENSG00000169962.5",3.26846555771692,-1.36098790889294,0.877100285880892,-1.55169018959568,0.120736371198073,0.289758606367466
"ENSG00000107404.21",662.795945349571,-0.013162962736732,0.058880095285818,-0.223555391220681,0.823103277763673,0.913565109010526
"ENSG00000162576.17",3.6816004387664,0.797529171310072,0.755141091429832,1.05613266230815,0.290907609858662,0.516626314109058
"ENSG00000175756.14",1134.59908790358,-0.154516504438424,0.0507208864241916,-3.04640780813968,0.00231593488432236,0.0131637423194916
"ENSG00000221978.13",1026.47209711383,0.210060778718785,0.0471790849202569,4.4524131630326,8.49105831992804e-06,9.4513481516063e-05
"ENSG00000242485.6",500.995701756347,0.030629585891002,0.0702042897868959,0.436292226357929,0.662624721227419,0.819081239681148
"ENSG00000235098.9",0.276986174788665,1.54658642326738,2.67190193719626,0.578833527434874,0.562701506082899,NA
"ENSG00000205116.4",0.584026748834197,1.35270221319274,1.82833063240661,0.739856451134438,0.459387101330735,NA
"ENSG00000179403.12",497.534670276615,-0.111221101992108,0.0691870805051185,-1.60754148289115,0.107935637097182,0.268482342267554
"ENSG00000215915.10",33.016784727384,0.260447744193397,0.247726319960727,1.05135273569109,0.293096614872237,0.518857596774755
"ENSG00000160072.20",415.569889340309,-0.063154947359088,0.0732943986488972,-0.861661307320627,0.388873923583307,0.61630582877839
"ENSG00000197785.14",566.021201544951,-0.276900073787988,0.063513949380619,-4.3596733707837,1.30256721368479e-05,0.000139743263937598
"ENSG00000205090.9",2.62524103164297,-0.210585881098695,0.893007461582862,-0.235816485480905,0.813575075313142,NA
"ENSG00000160075.12",1371.14841859832,-0.00523550923490887,0.0421398745829155,-0.124241215398194,0.901124289854509,0.954785146863872
"ENSG00000228594.4",383.310410833772,-0.141073361132494,0.0831304599891316,-1.69701167479331,0.0896944533283606,0.23557812301759
"ENSG00000197530.13",250.166552019574,0.168035067758129,0.100615186031355,1.67007659962745,0.0949042092668038,0.245083509457191
"ENSG00000189409.14",3.0961690289018,-0.77489383557361,0.787458394089545,-0.984044162065906,0.325093799598902,0.554041865591488
"ENSG00000248333.9",464.489653558176,-0.166448808372096,0.0739822172215017,-2.2498488775181,0.0244585400911158,0.0900727582936069
"ENSG00000189339.12",580.561850714087,-0.0768775121417,0.058696421229583,-1.30974786079383,0.190281146738074,0.393780769788547
"ENSG00000008128.23",23.0770730956838,-0.116303512772411,0.307793585717573,-0.377862041865711,0.705533081695265,0.846081814026868
"ENSG00000008130.15",541.953913519322,0.097444141779318,0.065800749792733,1.48089713394238,0.138633986892913,0.319111622813526
"ENSG00000078369.19",2831.18808024636,0.0244143360230494,0.0352091718523995,0.693408414301729,0.488053283265018,0.698804754688866
"ENSG00000169885.10",15.7696064307118,0.142695145692248,0.353405621080262,0.403771579116565,0.686380697792563,0.834723919208425
"ENSG00000178821.13",27.7570873403611,0.0662236274680247,0.285600805884803,0.231874792029599,0.816635264026042,0.910332188815372
"ENSG00000142609.20",3.04728522419685,-0.200875716427185,0.837590024629262,-0.239825822324111,0.810465287748352,0.90766994680082
"ENSG00000187730.9",14.6239112530855,0.320308839775742,0.383204330733068,0.835869571627736,0.403228282171949,0.630150427853259
"ENSG00000067606.17",340.804771481814,0.242109263547075,0.074692855371004,3.24139788664529,0.00118945038919952,0.00745977673602292
"ENSG00000162585.17",197.708553189555,0.094323267156092,0.100218799541549,0.941173388501694,0.346616011690337,0.57479340109583
"ENSG00000157933.11",852.934675473434,-0.0998151311786136,0.0493415988681597,-2.02294075320337,0.0430792562289616,0.140023320416883
"ENSG00000116151.14",158.598969311207,0.0223938964412733,0.125892722922287,0.177880785493034,0.858816601139378,0.933887830103653
"ENSG00000157916.20",547.838878554371,0.00982161072023902,0.0650552723236851,0.150973324212236,0.879996758867115,0.944922097018306
"ENSG00000157911.11",278.932112301703,0.0543753509113907,0.087557788702063,0.621022432355119,0.534584863698937,0.730517569844945
"ENSG00000149527.18",24.2701754898306,0.0960729039320715,0.291647694849014,0.329414240636493,0.741842605441245,0.868705046259442
"ENSG00000157881.16",199.155010980419,-0.0935517209962569,0.102515228724092,-0.912564134720324,0.361471824368538,0.591056477336745
"ENSG00000197921.6",0,NA,NA,NA,NA,NA
"ENSG00000157873.18",25.2563746073861,0.273486114122187,0.377714214891812,0.72405565726596,0.469031566266061,0.684793270253457
"ENSG00000157870.17",353.908151994879,-0.158627923306054,0.0805919544634246,-1.96828485376967,0.0490352716802573,0.153902801430536
"ENSG00000142606.16",52.5697498338662,-0.213073582185518,0.205481676228236,-1.03694687573431,0.299760616069653,0.526395418692841
"ENSG00000215912.13",29.6021908418655,0.447804855620886,0.254809808079451,1.75740823713213,0.0788482503119884,0.21568123563513
"ENSG00000169717.7",0,NA,NA,NA,NA,NA
"ENSG00000142611.17",320.848271716832,0.0674341372348182,0.0876824939373781,0.769071843268725,0.441850662231586,0.662978316073748
"ENSG00000130762.15",609.085517229721,-0.256436721897197,0.0705381892782358,-3.63543102709498,0.00027751623904264,0.00213841323687245
"ENSG00000162591.17",429.672308033638,-0.414278525333414,0.0706028940042556,-5.86772725362282,4.41809231412550e-09,8.81693172520343e-08
